ntrab,ano107680,ano242841,ano246996,ano247954,ano248822,ano249288,ano257401,ano262840,ano263070,ano263244,ano263568,ano264933,ano270960,ano271589,ano275772,ano276745,ano276759,ano277942,ano282941,ano284219,ano285091,ano285479,ano286092,ano286622,ano288375,ano289420,ano306429,ano315531,ano315585,ano329752,ano373782,ano377417,ano384141,ano384164,ano389542,ano395569,ano403095,ano406859,ano407598,ano412587,ano414857,ano417978,ano422904,ano423159,ano430729,ano433846,ano434448,ano442490,ano447044,ano454640,ano455809,ano457755,ano458469,ano460009,ano464238,ano466427,ano470903,ano483494,ano485196,ano485429,ano487087,ano490282,ano496741,ano499057,ano500595,ano507109,ano508155,ano514330,ano518040,ano518262,ano520911,ano521020,ano522965,ano523353,ano529196,ano529437,ano529856,ano530491,ano531507,ano531569,ano532822,ano534372,ano537688,ano539296,ano540127,ano540877,ano542077,ano543758,ano543955,ano545191,ano545639,ano546866,ano548560,ano549508,ano549904,ano550824,ano550827,ano551403,ano552533,ano552810,ano553416,ano554252,ano556004,ano559528,ano578866,ano592952,ano593341,ano599515,ano605240,ano607745,ano607794,ano608286,ano610270,ano612111,ano612128,ano612957,ano612958,ano616877,ano618299,ano619866,ano619892,ano620640,ano624338,ano624364,ano625225,ano625260,ano626637,ano626736,ano626885,ano627880,ano628480,ano628560,ano628640,ano628661,ano628941,ano628969,ano629332,ano629589,ano630401,ano630728,ano631666,ano631669,ano633264,ano634677,ano640514,ano641781,ano642723,ano644639,ano645900,ano646188,ano646666,ano650629,ano650793,ano664602,ano670685,ano913696,ano918164,ano922469,ano922972,ano924515,ano925560,ano926736,ano926952,ano927181,ano927734,ano930724,ano931556,ano934516,ano934631,ano937440,ano940964,ano945094,ano951955,ano953409,ano953411,ano953823,ano954209,ano955518,ano956361,ano956967,ano957307,ano957310,ano957686,ano957871,ano957924,ano959348,ano961831,ano963646,ano964096,ano964632,ano965136,ano965306,ano965902,ano978945,ano981249,ano992108,ano993644,ano993687,ano994312,ano995067,ano999528,ano1001717,ano1001731,ano1009443,ano1010197,ano1010738,ano1015020,ano1016797,ano1023922,ano1025900,ano1026531,ano1027493,ano1027760,ano1030237,ano1030575,ano1031850,ano1032228,ano1033306,ano1038002,ano1038508,ano1045629,ano1045758,ano1046264,ano1046846,ano1049619,ano1049856,ano1052698,ano1054050,ano1071225,ano1083066,ano1085860,ano1087865,ano1088722,ano1096014,ano1099050,ano1111810
30228,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50641,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809124,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971300,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14950077,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14989338,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22352095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27155548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27162490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27163872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
